BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-04-15,Газпрнефть,SIBN,13221,294097478.55,548.3,538,550.7,539.1,543.05,540.25,541459,542.6,542.6,,204368326.7,204368326.7,,0,3,SUR,-0.96,2025-04-15
TQBR,2025-04-15,Сахэнер ао,SLEN,107,627794,3.335,3.22,3.525,3.22,3.35,3.22,187500,3.35,3.35,,627794,627794,,0,3,SUR,-3.45,2025-04-15
TQBR,2025-04-15,Самолет ао,SMLT,34227,2406316726.5,1109,1074,1124.5,1100,1101.5,1116.5,2184879,1098.5,1098.5,,1814873022.5,1814873022.5,,0,3,SUR,1.04,2025-04-15
TQBR,2025-04-15,Сургнфгз,SNGS,14469,871026727.5,23.045,22.875,23.62,23.1,23.27,23.31,37432900,23.295,23.295,,739664114.5,739664114.5,,0,3,SUR,1.3,2025-04-15
TQBR,2025-04-15,Сургнфгз-п,SNGSP,39959,1036458190.45,51.89,51.36,52.155,51.9,51.825,52.03,19999260,51.83,51.83,,891855507.9,891855507.9,,0,3,SUR,0.64,2025-04-15
TQBR,2025-04-15,iСофтлайн,SOFL,4691,61258452.6,105.72,104.02,105.88,104.78,104.8,105.28,584500,104.7,104.7,,44050567.6,44050567.6,,0,3,SUR,0.32,2025-04-15
TQBR,2025-04-15,СПБ Биржа,SPBE,38668,1687413929.3,230.8,224.3,239.6,232,232.8,235.6,7249316,233.4,233.4,,1110314299.3,1110314299.3,,0,3,SUR,2.12,2025-04-15
TQBR,2025-04-15,СтаврЭнСб,STSB,45,442700,3.765,3.65,3.765,3.68,3.69,3.665,120000,,3.695,,0,506555,,0,3,SUR,-2.4,2025-04-15
TQBR,2025-04-15,СтаврЭнСбп,STSBP,20,153145,4.57,4.46,4.58,4.465,4.505,4.46,34000,,4.5,,0,517780,,0,3,SUR,-1.22,2025-04-15
TQBR,2025-04-15,СОЛЛЕРС,SVAV,1691,26190486.5,665,660,684,664,668.5,664,39170,669,669,,21239524.5,21239524.5,,0,3,SUR,-0.38,2025-04-15
TQBR,2025-04-15,Совкомбанк,SVCB,16154,611796975,16.125,15.77,16.35,16.15,16.1,16.205,38003800,16.08,16.08,,524499221.5,524499221.5,,0,3,SUR,0.5,2025-04-15
